algoritmo,tipo,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF,tiempoPromedio
KNN,Total de datos,9081,3028,0.2,0.22s,"[[2377, 167], [121, 363]]",90.49%,90.49%,90.49%,90.49%,0.00s
LR,Total de datos,9081,3028,0.2,0.43s,"[[2484, 60], [313, 171]]",87.68%,87.68%,87.68%,87.68%,0.00s
GNB,Total de datos,9081,3028,0.2,0.09s,"[[839, 1705], [11, 473]]",43.33%,43.33%,43.33%,43.33%,0.00s
DT,Total de datos,9081,3028,0.2,1.01s,"[[2435, 109], [19, 465]]",95.77%,95.77%,95.77%,95.77%,0.00s
SVM,Total de datos,9081,3028,0.2,11.89s,"[[2544, 0], [272, 212]]",91.02%,91.02%,91.02%,91.02%,0.00s
RF,Total de datos,9081,3028,0.2,2.78s,"[[2544, 0], [25, 459]]",99.17%,99.17%,99.17%,99.17%,0.00s
GB,Total de datos,9081,3028,0.2,4.88s,"[[2541, 3], [370, 114]]",87.68%,87.68%,87.68%,87.68%,0.00s
KNN,Particion 1,6811,2270,0.2,0.15s,"[[1752, 124], [117, 277]]",89.38%,89.38%,89.38%,89.38%,0.00s
LR,Particion 1,6811,2270,0.2,0.31s,"[[1837, 39], [274, 120]]",86.21%,86.21%,86.21%,86.21%,0.00s
GNB,Particion 1,6811,2270,0.2,0.07s,"[[627, 1249], [10, 384]]",44.54%,44.54%,44.54%,44.54%,0.00s
DT,Particion 1,6811,2270,0.2,0.80s,"[[1799, 77], [25, 369]]",95.51%,95.51%,95.51%,95.51%,0.00s
SVM,Particion 1,6811,2270,0.2,6.51s,"[[1876, 0], [257, 137]]",88.68%,88.68%,88.68%,88.68%,0.00s
RF,Particion 1,6811,2270,0.2,1.86s,"[[1876, 0], [28, 366]]",98.77%,98.77%,98.77%,98.77%,0.00s
GB,Particion 1,6811,2270,0.2,3.63s,"[[1874, 2], [315, 79]]",86.04%,86.04%,86.04%,86.04%,0.00s
KNN,Particion 2,6811,2270,0.2,0.15s,"[[1734, 138], [139, 259]]",87.80%,87.80%,87.80%,87.80%,0.00s
LR,Particion 2,6811,2270,0.2,0.25s,"[[1831, 41], [273, 125]]",86.17%,86.17%,86.17%,86.17%,0.00s
GNB,Particion 2,6811,2270,0.2,0.07s,"[[627, 1245], [5, 393]]",44.93%,44.93%,44.93%,44.93%,0.00s
DT,Particion 2,6811,2270,0.2,0.68s,"[[1785, 87], [36, 362]]",94.58%,94.58%,94.58%,94.58%,0.00s
SVM,Particion 2,6811,2270,0.2,6.21s,"[[1872, 0], [258, 140]]",88.63%,88.63%,88.63%,88.63%,0.00s
RF,Particion 2,6811,2270,0.2,1.85s,"[[1872, 0], [38, 360]]",98.33%,98.33%,98.33%,98.33%,0.00s
GB,Particion 2,6811,2270,0.2,3.63s,"[[1869, 3], [310, 88]]",86.21%,86.21%,86.21%,86.21%,0.00s
KNN,Particion 3,6811,2270,0.2,0.15s,"[[1756, 132], [137, 245]]",88.15%,88.15%,88.15%,88.15%,0.00s
LR,Particion 3,6811,2270,0.2,0.27s,"[[1844, 44], [253, 129]]",86.92%,86.92%,86.92%,86.92%,0.00s
GNB,Particion 3,6811,2270,0.2,0.07s,"[[642, 1246], [13, 369]]",44.54%,44.54%,44.54%,44.54%,0.00s
DT,Particion 3,6811,2270,0.2,0.72s,"[[1784, 104], [32, 350]]",94.01%,94.01%,94.01%,94.01%,0.00s
SVM,Particion 3,6811,2270,0.2,6.67s,"[[1888, 0], [251, 131]]",88.94%,88.94%,88.94%,88.94%,0.00s
RF,Particion 3,6811,2270,0.2,1.95s,"[[1888, 0], [36, 346]]",98.41%,98.41%,98.41%,98.41%,0.00s
GB,Particion 3,6811,2270,0.2,3.62s,"[[1883, 5], [304, 78]]",86.39%,86.39%,86.39%,86.39%,0.00s
KNN,Particion 4,6810,2271,0.2,0.16s,"[[1752, 159], [105, 255]]",88.38%,88.38%,88.38%,88.38%,0.00s
LR,Particion 4,6810,2271,0.2,0.31s,"[[1846, 65], [237, 123]]",86.70%,86.70%,86.70%,86.70%,0.00s
GNB,Particion 4,6810,2271,0.2,0.07s,"[[641, 1270], [7, 353]]",43.77%,43.77%,43.77%,43.77%,0.00s
DT,Particion 4,6810,2271,0.2,0.55s,"[[1809, 102], [21, 339]]",94.58%,94.58%,94.58%,94.58%,0.00s
SVM,Particion 4,6810,2271,0.2,7.11s,"[[1911, 0], [229, 131]]",89.92%,89.92%,89.92%,89.92%,0.00s
RF,Particion 4,6810,2271,0.2,1.94s,"[[1911, 0], [24, 336]]",98.94%,98.94%,98.94%,98.94%,0.00s
GB,Particion 4,6810,2271,0.2,3.90s,"[[1906, 5], [275, 85]]",87.67%,87.67%,87.67%,87.67%,0.00s
